block,hospitals_within_circle
block_no :848,55.0
block_no :849,55.0
block_no :850,51.0
block_no :851,70.0
block_no :852,62.0
block_no :853,53.0
block_no :854,55.0
block_no :855,55.0
block_no :856,49.0
block_no :857,44.0
block_no :858,49.0
block_no :859,43.0
block_no :860,49.0
block_no :861,43.0
block_no :862,39.0
block_no :863,41.0
block_no :864,42.0
block_no :865,44.0
block_no :866,42.0
block_no :867,47.0
block_no :868,48.0
block_no :869,44.0
block_no :870,44.0
block_no :871,46.0
block_no :872,54.0
block_no :873,55.0
block_no :874,65.0
block_no :875,49.0
block_no :876,43.0
block_no :877,46.0
block_no :878,60.0
block_no :879,44.0
block_no :880,43.0
block_no :881,39.0
block_no :882,38.0
block_no :883,37.0
block_no :884,36.0
block_no :885,40.0
block_no :886,38.0
block_no :887,44.0
block_no :888,30.0
block_no :889,29.0
block_no :890,27.0
block_no :891,26.0
block_no :892,19.0
block_no :893,27.0
block_no :894,19.0
block_no :895,16.0
block_no :896,16.0
block_no :897,16.0
block_no :898,18.0
block_no :899,12.0
block_no :900,16.0
block_no :901,16.0
block_no :902,16.0
block_no :903,18.0
block_no :904,16.0
block_no :905,17.0
block_no :906,18.0
block_no :907,20.0
block_no :908,19.0
block_no :909,19.0
block_no :910,19.0
block_no :911,20.0
block_no :912,18.0
block_no :913,20.0
block_no :914,23.0
block_no :915,24.0
block_no :916,21.0
block_no :917,27.0
block_no :918,35.0
block_no :919,35.0
block_no :920,29.0
block_no :921,35.0
block_no :922,35.0
block_no :923,40.0
block_no :924,39.0
block_no :925,36.0
block_no :926,36.0
block_no :927,34.0
block_no :928,35.0
block_no :929,31.0
block_no :930,35.0
block_no :931,30.0
block_no :932,26.0
block_no :933,26.0
block_no :934,24.0
block_no :935,27.0
block_no :936,17.0
block_no :937,24.0
block_no :938,12.0
block_no :939,14.0
block_no :940,20.0
block_no :941,19.0
block_no :942,21.0
block_no :943,21.0
block_no :944,23.0
block_no :945,19.0
block_no :946,19.0
block_no :947,17.0
block_no :948,19.0
block_no :949,13.0
block_no :950,17.0
block_no :951,17.0
block_no :952,13.0
block_no :953,13.0
block_no :954,12.0
block_no :955,10.0
block_no :956,10.0
block_no :957,13.0
block_no :958,89.0
block_no :959,89.0
